c_ut,count,mean,median,std,min,max,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,IQR,name,province,department,num_dpto,surface,Population_2024,density
70105,10220,0.990,0.877,0.680,0,3.053,0.162,0.393,0.498,0.583,0.728,0.877,1.041,1.252,1.374,1.520,1.984,0.876,El Torno,Andres Ibanez,Santa Cruz,7,959.5,55558,57.9
71004,2297,0.997,0.905,0.683,0,3.015,0.158,0.365,0.503,0.601,0.756,0.905,1.057,1.255,1.383,1.523,1.943,0.880,Fernandez Alonso,Obispo Santistevan,Santa Cruz,7,760.1,14625,19.24
71501,4048,1.026,0.892,0.755,0,3.396,0.156,0.341,0.426,0.519,0.698,0.892,1.092,1.320,1.460,1.623,2.125,1.034,Ascension de Guarayos,Guarayos,Santa Cruz,7,8674,34002,3.92
71105,880,0.634,0.553,0.431,0,1.95,0.154,0.244,0.296,0.341,0.435,0.553,0.678,0.815,0.882,0.973,1.264,0.587,San Antonio de Lomerio,Nuflo de Chaves,Santa Cruz,7,2503,8427,3.37
80201,17668,0.876,0.714,0.675,0.012,3.013,0.150,0.276,0.333,0.401,0.549,0.714,0.894,1.123,1.258,1.422,1.872,0.925,Riberalta,Vaca Diez,Beni,8,9726,107141,11.02
70403,8807,1.099,0.963,0.790,0,3.492,0.149,0.389,0.509,0.612,0.788,0.963,1.150,1.402,1.543,1.720,2.260,1.034,Villa Yapacani,Ichilo,Santa Cruz,7,9514,57683,6.06
70503,3220,1.104,0.971,0.809,0,3.571,0.140,0.347,0.460,0.559,0.773,0.971,1.183,1.448,1.585,1.753,2.273,1.125,Robore,Chiquitos,Santa Cruz,7,7353,18701,2.54
90303,486,0.937,0.806,0.717,0,3.147,0.138,0.279,0.362,0.432,0.600,0.806,0.998,1.204,1.337,1.507,1.996,0.974,Sena,Madre de Dios,Pando,9,7634,10264,1.34
70402,3478,1.064,0.949,0.755,0,3.362,0.138,0.385,0.485,0.591,0.775,0.949,1.127,1.362,1.522,1.663,2.162,1.037,San Carlos,Ichilo,Santa Cruz,7,1212,18998,15.67
30903,14697,1.226,1.081,0.893,0,3.922,0.136,0.411,0.534,0.652,0.857,1.081,1.321,1.598,1.764,1.957,2.522,1.230,Tiquipaya,Quillacollo,Cochabamba,3,344.4,61600,178.86
70701,713,0.744,0.630,0.559,0,2.52,0.133,0.226,0.299,0.370,0.495,0.630,0.787,0.967,1.064,1.173,1.534,0.765,Lagunillas,Cordillera,Santa Cruz,7,1122,5910,5.27
30101,198371,1.202,1.043,0.892,0,3.887,0.131,0.385,0.504,0.615,0.825,1.043,1.285,1.571,1.745,1.945,2.494,1.241,Cochabamba,Cercado,Cochabamba,3,289.3,661484,2286.5
70302,1670,0.771,0.645,0.591,0,2.557,0.122,0.236,0.294,0.362,0.505,0.645,0.813,0.989,1.110,1.241,1.658,0.816,San Miguel de Velasco,Velasco,Santa Cruz,7,9544,15177,1.59
70301,6772,1.024,0.821,0.840,0,3.653,0.121,0.265,0.339,0.424,0.620,0.821,1.046,1.334,1.513,1.710,2.289,1.174,San Ignacio de Velasco,Velasco,Santa Cruz,7,49102,67610,1.38
71002,2517,1.037,0.920,0.747,0,3.309,0.121,0.348,0.457,0.573,0.747,0.920,1.120,1.348,1.481,1.637,2.066,1.024,General Saavedra,Obispo Santistevan,Santa Cruz,7,529.4,16043,30.3
71401,3796,1.524,1.286,1.200,0,5.233,0.121,0.454,0.612,0.753,1.017,1.286,1.576,1.919,2.165,2.469,3.317,1.554,Puerto Suarez,German Busch,Santa Cruz,7,12982,17378,1.34
71005,2653,1.011,0.899,0.721,0,3.218,0.118,0.369,0.463,0.565,0.733,0.899,1.078,1.289,1.412,1.563,2.048,0.949,San Pedro,Obispo Santistevan,Santa Cruz,7,3081,15158,4.92
71403,778,1.026,0.907,0.782,0,3.577,0.117,0.307,0.378,0.438,0.684,0.907,1.096,1.361,1.494,1.684,2.183,1.116,El Carmen Rivero Torrez,German Busch,Santa Cruz,7,11011,8731,0.79
21501,801,0.758,0.627,0.588,0,2.521,0.115,0.219,0.280,0.342,0.496,0.627,0.782,0.984,1.102,1.248,1.652,0.822,Ixiamas,Iturralde,La Paz,2,37453,12487,0.33
71106,3410,1.144,0.958,0.926,0,4.379,0.115,0.339,0.459,0.579,0.761,0.958,1.157,1.410,1.552,1.736,2.463,1.093,Cuatro Canadas,Nuflo de Chaves,Santa Cruz,7,4486,25260,5.63
70103,3739,2.922,1.706,3.061,0,12.695,0.114,0.433,0.622,0.796,1.209,1.706,2.441,3.653,4.444,5.312,7.832,3.822,Porongo,Andres Ibanez,Santa Cruz,7,943.5,23016,24.39
10501,4273,0.720,0.590,0.554,0,2.417,0.113,0.240,0.275,0.333,0.464,0.590,0.735,0.920,1.040,1.164,1.567,0.765,Monteagudo,Hernando Siles,Chuquisaca,1,3387,24487,7.23
70707,760,0.896,0.741,0.698,0,3.049,0.110,0.259,0.340,0.405,0.576,0.741,0.950,1.167,1.309,1.444,1.902,0.970,Boyuibe,Cordillera,Santa Cruz,7,1660,5603,3.38
70102,11313,1.386,1.185,1.063,0,4.65,0.109,0.434,0.582,0.712,0.949,1.185,1.454,1.773,1.969,2.234,2.952,1.387,Cotoca,Andres Ibanez,Santa Cruz,7,619.5,106292,171.58
90102,903,0.996,0.908,0.699,0,3.188,0.107,0.345,0.457,0.562,0.724,0.908,1.109,1.303,1.425,1.581,1.961,0.969,Porvenir,Nicolas Suarez,Pando,9,10967,8970,0.82
90502,112,0.786,0.533,0.729,0.012,2.88,0.101,0.154,0.185,0.245,0.321,0.533,0.754,1.187,1.283,1.439,1.853,1.098,Villa Nueva,General Federico Roman,Pando,9,2823,2500,0.89
71104,7093,0.906,0.803,0.674,0,3.031,0.100,0.278,0.363,0.454,0.640,0.803,0.977,1.176,1.294,1.440,1.869,0.931,San Ramon,Nuflo de Chaves,Santa Cruz,7,492.3,6346,12.89
71101,2898,0.877,0.734,0.691,0,3.029,0.096,0.252,0.321,0.391,0.562,0.734,0.925,1.139,1.279,1.436,1.876,0.958,Concepcion,Nuflo de Chaves,Santa Cruz,7,35109,30109,0.86
90301,176,0.593,0.409,0.510,0.012,2.157,0.085,0.134,0.167,0.226,0.319,0.409,0.583,0.775,0.927,1.035,1.385,0.760,Puerto Gonzalo Moreno,Madre de Dios,Pando,9,1293,12006,9.29
70705,1328,0.529,0.434,0.421,0,1.843,0.083,0.151,0.191,0.229,0.324,0.434,0.541,0.684,0.776,0.867,1.132,0.585,Gutierrez�(Kereimba Iyambae),Cordillera,Santa Cruz,7,2871,15169,5.28
21502,1388,0.606,0.507,0.461,0,2.054,0.082,0.190,0.240,0.282,0.395,0.507,0.645,0.801,0.886,0.994,1.264,0.646,San Buenaventura,Iturralde,La Paz,2,2839,10115,3.56
70303,552,0.948,0.811,0.726,0,3.255,0.081,0.317,0.393,0.481,0.647,0.811,0.985,1.195,1.356,1.537,2.004,0.963,San Rafael de Velasco,Velasco,Santa Cruz,7,9731,8786,0.9
40603,4,0.094,0.091,0.016,0.079,0.113,0.080,0.081,0.081,0.082,0.086,0.091,0.096,0.101,0.103,0.105,0.109,0.022,Antequera,Poopo,Oruro,4,283.9,3614,12.73
20602,2352,0.799,0.693,0.642,0,2.784,0.077,0.199,0.276,0.352,0.503,0.693,0.838,1.034,1.168,1.303,1.738,0.893,Guanay,Larecaja,La Paz,2,3965,16373,4.13
10703,944,0.248,0.196,0.176,0,0.797,0.077,0.097,0.112,0.120,0.152,0.196,0.237,0.307,0.346,0.380,0.514,0.234,Incahuasi,Nor Cinti,Chuquisaca,1,870,16311,18.75
70702,2150,0.699,0.547,0.588,0,2.517,0.077,0.177,0.226,0.281,0.393,0.547,0.728,0.900,1.029,1.180,1.584,0.803,Charagua,Cordillera,Santa Cruz,7,71360,39262,0.55
70903,2431,0.728,0.623,0.558,0,2.463,0.077,0.225,0.296,0.352,0.482,0.623,0.779,0.939,1.051,1.189,1.529,0.755,Mairana,Florida,Santa Cruz,7,922.4,12732,13.8
70704,630,0.693,0.599,0.548,0,2.301,0.077,0.171,0.231,0.295,0.456,0.599,0.733,0.902,1.019,1.133,1.551,0.787,Cuevo,Cordillera,Santa Cruz,7,872.5,4953,5.68
10902,2403,0.257,0.180,0.204,0,0.888,0.074,0.088,0.100,0.113,0.135,0.180,0.239,0.310,0.354,0.416,0.588,0.254,Culpina,Sud Cinti,Chuquisaca,1,3910,14868,3.8
10502,968,0.508,0.413,0.385,0,1.68,0.073,0.174,0.240,0.240,0.310,0.413,0.527,0.648,0.738,0.819,1.077,0.498,Huacareta,Hernando Siles,Chuquisaca,1,2962,7201,2.43
10701,3587,0.390,0.240,0.371,0,1.554,0.073,0.086,0.097,0.114,0.154,0.240,0.337,0.497,0.583,0.691,0.996,0.486,Camargo,Nor Cinti,Chuquisaca,1,1990,14712,7.39
10704,1775,0.217,0.158,0.157,0,0.718,0.073,0.089,0.098,0.109,0.127,0.158,0.202,0.255,0.297,0.339,0.460,0.199,Villa Charcas,Nor Cinti,Chuquisaca,1,1000,13924,13.92
70401,2730,0.943,0.804,0.740,0,3.231,0.073,0.261,0.364,0.465,0.638,0.804,0.974,1.203,1.329,1.518,2.064,0.965,Buena Vista,Ichilo,Santa Cruz,7,2250,13586,6.04
10901,818,0.234,0.142,0.209,0,0.891,0.071,0.079,0.083,0.089,0.110,0.142,0.197,0.271,0.328,0.395,0.568,0.245,Villa Abecia,Sud Cinti,Chuquisaca,1,707.3,5371,7.59
10903,775,0.281,0.169,0.259,0,1.112,0.070,0.077,0.085,0.094,0.120,0.169,0.252,0.360,0.431,0.501,0.670,0.346,Las Carreras,Sud Cinti,Chuquisaca,1,994.6,5007,5.03
70602,2665,0.844,0.747,0.648,0,2.836,0.070,0.242,0.317,0.407,0.585,0.747,0.910,1.094,1.224,1.343,1.788,0.907,Santa Rosa del Sara,Sara,Santa Cruz,7,4114,17984,4.37
70703,2909,0.871,0.756,0.672,0,2.951,0.067,0.257,0.342,0.429,0.597,0.756,0.937,1.130,1.248,1.383,1.843,0.906,Cabezas,Cordillera,Santa Cruz,7,5058,31160,6.16
90501,74,0.400,0.310,0.319,0.012,1.286,0.065,0.121,0.157,0.203,0.253,0.310,0.383,0.502,0.540,0.626,0.900,0.383,Nueva Esperanza,General Federico Roman,Pando,9,3651,1390,0.38
31001,47933,0.939,0.800,0.745,0,3.2,0.062,0.240,0.332,0.428,0.614,0.800,1.003,1.242,1.386,1.555,2.038,1.054,Sacaba,Chapare,Cochabamba,3,701.8,218502,311.35
30904,13912,0.776,0.658,0.611,0,2.63,0.060,0.213,0.282,0.358,0.507,0.658,0.827,1.018,1.133,1.285,1.682,0.851,Vinto,Quillacollo,Cochabamba,3,217.9,55773,255.96
40101,86058,0.850,0.694,0.696,0,2.982,0.060,0.221,0.297,0.372,0.528,0.694,0.878,1.112,1.254,1.420,1.889,0.957,Oruro,Cercado,Oruro,4,276.2,297497,1077.11
20606,1787,0.713,0.615,0.564,0,2.415,0.058,0.183,0.253,0.318,0.461,0.615,0.778,0.943,1.052,1.174,1.532,0.799,Tipuani,Larecaja,La Paz,2,300.9,7640,25.39
70802,494,0.501,0.410,0.391,0,1.699,0.055,0.146,0.182,0.224,0.321,0.410,0.531,0.671,0.744,0.843,1.067,0.562,El Trigal,Vallegrande,Santa Cruz,7,398.5,2367,5.94
31602,4597,0.649,0.573,0.500,0,2.192,0.055,0.168,0.236,0.300,0.447,0.573,0.711,0.856,0.944,1.053,1.361,0.708,Shinahota,Tiraque,Cochabamba,3,737.81,27067,36.69
30902,13578,0.659,0.557,0.520,0,2.236,0.054,0.187,0.245,0.305,0.431,0.557,0.697,0.856,0.959,1.073,1.431,0.714,Sipe Sipe,Quillacollo,Cochabamba,3,480.5,55601,115.71
60401,3303,0.599,0.536,0.456,0,1.991,0.053,0.162,0.222,0.283,0.408,0.536,0.655,0.791,0.879,0.983,1.254,0.657,Uriondo,Jose Maria Aviles,Tarija,6,801.6,15954,19.9
20607,1874,0.697,0.605,0.554,0,2.431,0.052,0.169,0.233,0.293,0.444,0.605,0.758,0.928,1.034,1.149,1.494,0.801,Mapiri,Larecaja,La Paz,2,1381,21805,15.79
31206,6470,0.744,0.660,0.576,0,2.522,0.052,0.203,0.274,0.365,0.521,0.660,0.798,0.962,1.058,1.181,1.588,0.784,Entre Rios,Carrasco,Cochabamba,3,2101,45520,21.67
50802,3019,0.454,0.394,0.341,0,1.505,0.052,0.137,0.177,0.220,0.300,0.394,0.492,0.595,0.664,0.744,0.940,0.487,Atocha,Sud Chichas,Potosi,5,2108,9364,4.44
11002,247,0.450,0.407,0.354,0,1.5,0.048,0.123,0.165,0.193,0.284,0.407,0.469,0.581,0.682,0.735,0.938,0.517,Huacaya,Luis Calvo,Chuquisaca,1,1186,2546,2.15
70901,2602,0.715,0.582,0.596,0,2.601,0.048,0.179,0.241,0.310,0.437,0.582,0.740,0.933,1.049,1.191,1.591,0.808,Samaipata,Florida,Santa Cruz,7,2188,11814,5.4
40102,4247,0.286,0.240,0.192,0,0.845,0.046,0.127,0.169,0.212,0.240,0.240,0.256,0.326,0.373,0.431,0.588,0.204,Caracollo,Cercado,Oruro,4,2364,23068,9.76
70902,2190,0.517,0.443,0.409,0,1.773,0.046,0.131,0.177,0.223,0.333,0.443,0.564,0.695,0.771,0.846,1.109,0.594,Pampagrande,Florida,Santa Cruz,7,1429,9650,6.75
21105,6513,0.360,0.274,0.298,0,1.309,0.045,0.106,0.132,0.160,0.215,0.274,0.359,0.463,0.522,0.598,0.801,0.390,La Asunta,Sud Yungas,La Paz,2,2832,45586,16.1
70801,4271,0.641,0.531,0.529,0,2.259,0.044,0.142,0.199,0.258,0.390,0.531,0.693,0.866,0.957,1.067,1.421,0.759,Vallegrande,Vallegrande,Santa Cruz,7,3188,17172,5.39
71301,3382,0.565,0.454,0.469,0,1.982,0.043,0.131,0.186,0.236,0.335,0.454,0.594,0.752,0.844,0.939,1.284,0.658,Comarapa,Caballero,Santa Cruz,7,2900,17132,5.91
21401,4732,0.441,0.400,0.332,0,1.475,0.042,0.120,0.164,0.209,0.297,0.400,0.493,0.592,0.646,0.712,0.904,0.482,Coroico,Nor Yungas,La Paz,2,952.1,27531,28.92
40902,129,0.537,0.470,0.459,0,1.89,0.040,0.084,0.133,0.166,0.284,0.470,0.570,0.766,0.841,0.897,1.188,0.708,Coipasa,Sabaya,Oruro,4,204.2,1405,6.88
71302,1239,0.518,0.441,0.403,0,1.731,0.039,0.145,0.197,0.242,0.332,0.441,0.565,0.685,0.765,0.855,1.109,0.568,Saipina,Caballero,Santa Cruz,7,489.5,6057,12.37
21101,4371,0.505,0.446,0.399,0,1.749,0.037,0.118,0.165,0.223,0.335,0.446,0.551,0.674,0.744,0.825,1.072,0.580,Chulumani,Sud Yungas,La Paz,2,286.6,18278,63.78
20105,253854,0.783,0.639,0.652,0,2.77,0.036,0.186,0.261,0.335,0.484,0.639,0.809,1.024,1.157,1.313,1.762,0.896,El Alto,Murillo,La Paz,2,351.3,885035,2519.31
21103,1322,0.434,0.345,0.368,0,1.586,0.035,0.097,0.129,0.166,0.244,0.345,0.458,0.580,0.660,0.745,0.969,0.531,Yanacachi,Sud Yungas,La Paz,2,579.8,7583,13.08
31204,4534,0.595,0.524,0.489,0,2.131,0.033,0.122,0.184,0.245,0.382,0.524,0.647,0.784,0.873,0.974,1.295,0.689,Chimore,Carrasco,Cochabamba,3,2740,27374,9.99
30701,5530,0.583,0.460,0.506,0,2.132,0.033,0.114,0.168,0.221,0.339,0.460,0.611,0.761,0.855,0.986,1.354,0.687,Capinota,Capinota,Cochabamba,3,542.9,19291,35.53
31401,9440,0.625,0.524,0.514,0,2.207,0.033,0.142,0.200,0.261,0.389,0.524,0.668,0.824,0.925,1.041,1.398,0.725,Punata,Punata,Cochabamba,3,85.9,34813,405.27
30201,4105,0.461,0.360,0.398,0,1.693,0.032,0.096,0.134,0.176,0.262,0.360,0.472,0.613,0.693,0.788,1.048,0.559,Aiquile,Campero,Cochabamba,3,2723,23000,8.45
21003,3248,0.464,0.381,0.392,0,1.692,0.031,0.096,0.134,0.174,0.265,0.381,0.500,0.634,0.711,0.789,1.030,0.577,Cajuata,Inquisivi,La Paz,2,971.1,15485,15.95
31301,4929,0.419,0.324,0.369,0,1.573,0.026,0.081,0.113,0.147,0.227,0.324,0.438,0.573,0.645,0.725,0.963,0.532,Mizque,Mizque,Cochabamba,3,1895,19846,10.47
60502,2449,0.267,0.240,0.196,0,0.884,0.026,0.087,0.122,0.155,0.226,0.240,0.265,0.315,0.356,0.409,0.546,0.234,El Puente,Mendez,Tarija,6,2057,9504,4.62
70803,613,0.297,0.221,0.269,0,1.109,0.026,0.068,0.087,0.108,0.152,0.221,0.289,0.371,0.437,0.511,0.738,0.350,Moro Moro,Vallegrande,Santa Cruz,7,673.9,2811,4.17
30203,2232,0.449,0.398,0.352,0,1.538,0.024,0.103,0.144,0.196,0.305,0.398,0.509,0.613,0.673,0.734,0.929,0.529,Omereque,Campero,Cochabamba,3,759.3,6678,8.79
31002,4899,0.359,0.295,0.293,0,1.266,0.024,0.090,0.122,0.157,0.224,0.295,0.378,0.472,0.530,0.593,0.788,0.408,Colomi,Chapare,Cochabamba,3,559.7,19318,34.51
70904,387,0.392,0.307,0.337,0,1.404,0.022,0.082,0.113,0.142,0.206,0.307,0.421,0.539,0.600,0.672,0.876,0.487,Quirusillas,Florida,Santa Cruz,7,286.6,3095,10.8
20608,1528,0.652,0.500,0.599,0,2.49,0.022,0.090,0.135,0.202,0.332,0.500,0.698,0.898,1.006,1.128,1.545,0.872,Teoponte,Larecaja,La Paz,2,1599,13469,8.42
40401,789,0.281,0.240,0.181,0,0.792,0.021,0.164,0.240,0.240,0.240,0.240,0.240,0.324,0.360,0.408,0.565,0.120,Curahuara de Carangas,Sajama,Oruro,4,2866,6671,2.33
21402,5091,0.415,0.298,0.390,0,1.684,0.020,0.064,0.094,0.127,0.202,0.298,0.421,0.554,0.637,0.725,1.001,0.543,Coripata,Nor Yungas,La Paz,2,346.2,23910,69.06
31205,10387,0.583,0.488,0.513,0,2.235,0.020,0.084,0.141,0.206,0.345,0.488,0.628,0.773,0.862,0.980,1.332,0.721,Puerto Villarroel,Carrasco,Cochabamba,3,2241,64345,28.71
21006,611,0.271,0.182,0.259,0,1.107,0.019,0.043,0.062,0.085,0.130,0.182,0.257,0.354,0.418,0.488,0.660,0.356,Licoma Pampa,Inquisivi,La Paz,2,150.1,7791,51.91
70804,345,0.408,0.285,0.377,0,1.556,0.018,0.066,0.090,0.118,0.208,0.285,0.415,0.579,0.642,0.726,0.964,0.552,Postrervalle,Vallegrande,Santa Cruz,7,1157,1796,1.55
21002,1345,0.341,0.251,0.314,0,1.34,0.017,0.057,0.082,0.105,0.165,0.251,0.347,0.463,0.527,0.614,0.823,0.445,Quime,Inquisivi,La Paz,2,878.5,11184,12.73
21102,4136,0.361,0.263,0.334,0,1.445,0.017,0.056,0.078,0.105,0.174,0.263,0.380,0.502,0.563,0.640,0.865,0.485,Irupana,Sud Yungas,La Paz,2,1389,23076,16.61
60201,4133,0.467,0.348,0.411,0,1.721,0.017,0.087,0.134,0.197,0.257,0.348,0.468,0.624,0.710,0.812,1.089,0.576,Padcaya,Arce,Tarija,6,4431,17783,4.01
31403,4399,0.593,0.499,0.507,0,2.155,0.016,0.093,0.153,0.225,0.353,0.499,0.644,0.802,0.897,1.012,1.337,0.745,San Benito,Punata,Cochabamba,3,141.7,12924,91.21
21305,5394,0.319,0.236,0.290,0,1.245,0.016,0.060,0.086,0.113,0.171,0.236,0.316,0.414,0.483,0.552,0.753,0.397,Patacamaya,Aroma,La Paz,2,570.9,25049,43.88
31003,16419,0.491,0.397,0.444,0,1.919,0.016,0.060,0.098,0.146,0.263,0.397,0.535,0.677,0.756,0.853,1.121,0.658,Villa Tunari,Chapare,Cochabamba,3,14561,95588,6.56
30202,696,0.338,0.263,0.303,0,1.277,0.016,0.057,0.081,0.109,0.170,0.263,0.366,0.468,0.520,0.604,0.759,0.439,Pasorapa,Campero,Cochabamba,3,2389,6468,2.71
30801,6387,0.636,0.536,0.537,0,2.276,0.015,0.108,0.176,0.248,0.392,0.536,0.696,0.863,0.960,1.071,1.404,0.785,Cliza,German Jordan,Cochabamba,3,54.3,20877,384.48
31601,5261,0.278,0.233,0.231,0,0.994,0.015,0.059,0.084,0.111,0.171,0.233,0.296,0.374,0.418,0.474,0.618,0.334,Tiraque,Tiraque,Cochabamba,3,2650,18190,6.86
31203,2406,0.295,0.234,0.258,0,1.09,0.015,0.055,0.079,0.106,0.164,0.234,0.305,0.388,0.444,0.512,0.686,0.365,Pocona,Carrasco,Cochabamba,3,838.6,12216,14.57
40701,5518,0.807,0.722,0.649,0,2.789,0.014,0.141,0.238,0.341,0.552,0.722,0.901,1.110,1.221,1.352,1.738,0.983,Huanuni,Dalence,Oruro,4,553.1,20028,36.21
31202,1669,0.246,0.185,0.223,0,0.963,0.013,0.046,0.066,0.085,0.136,0.185,0.242,0.322,0.370,0.428,0.597,0.304,Pojo,Carrasco,Cochabamba,3,2392,11840,4.95
20503,775,0.177,0.130,0.163,0,0.691,0.012,0.036,0.051,0.066,0.095,0.130,0.164,0.221,0.258,0.299,0.439,0.207,Aucapata,Munecas,La Paz,2,243.1,6720,27.64
20701,2806,0.310,0.217,0.290,0,1.215,0.012,0.053,0.075,0.098,0.158,0.217,0.303,0.423,0.482,0.551,0.731,0.407,Apolo,Franz Tamayo,La Paz,2,13970,19047,1.36
30703,1081,0.276,0.204,0.254,0,1.058,0.012,0.046,0.067,0.096,0.148,0.204,0.274,0.360,0.417,0.476,0.659,0.350,Sicaya,Capinota,Cochabamba,3,132.7,3949,29.76
20102,3558,0.267,0.192,0.253,0,1.065,0.012,0.048,0.067,0.089,0.136,0.192,0.252,0.342,0.398,0.468,0.657,0.331,Palca,Murillo,La Paz,2,743.7,21641,29.1
60501,6013,0.662,0.535,0.594,0,2.486,0.012,0.093,0.153,0.226,0.367,0.535,0.699,0.886,1.010,1.143,1.540,0.857,San Lorenzo,Mendez,Tarija,6,1969,30352,15.41
40702,952,0.460,0.395,0.385,0,1.657,0.011,0.075,0.118,0.172,0.294,0.395,0.507,0.633,0.686,0.787,1.005,0.568,Machacamarca,Dalence,Oruro,4,306.8,6096,19.87
20603,1368,0.346,0.254,0.319,0,1.366,0.011,0.055,0.082,0.116,0.183,0.254,0.344,0.450,0.528,0.620,0.835,0.447,Tacacoma,Larecaja,La Paz,2,826.9,9705,11.74
30401,2434,0.486,0.369,0.457,0,1.934,0.011,0.054,0.093,0.139,0.245,0.369,0.505,0.654,0.756,0.859,1.162,0.663,Tarata,Esteban Arze,Cochabamba,3,338.4,11235,33.2
