c_ut,count,mean,median,std,min,max,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,IQR,name,province,department,num_dpto,surface,Population_2024,density
20502,1418,0.157,0.115,0.143,0,0.605,0.010,0.030,0.044,0.058,0.082,0.115,0.155,0.202,0.235,0.275,0.372,0.191,Ayata,Munecas,La Paz,2,671.4,8957,13.34
30803,1854,0.674,0.544,0.601,0,2.534,0.010,0.101,0.150,0.221,0.394,0.544,0.707,0.903,1.014,1.166,1.587,0.863,Tolata,German Jordan,Cochabamba,3,84,7372,87.76
31303,289,0.150,0.107,0.138,0,0.56,0.010,0.031,0.042,0.045,0.074,0.107,0.144,0.200,0.233,0.266,0.373,0.191,Alalay,Mizque,Cochabamba,3,423.1,3461,8.18
40502,24,0.052,0.046,0.039,0.003,0.154,0.009,0.017,0.019,0.028,0.040,0.046,0.053,0.059,0.073,0.075,0.111,0.055,Escara,Litoral,Oruro,4,1166,4194,3.6
30802,1677,0.377,0.283,0.353,0,1.471,0.009,0.045,0.072,0.103,0.184,0.283,0.392,0.527,0.598,0.694,0.903,0.526,Toco,German Jordan,Cochabamba,3,63.8,7208,112.98
21902,183,0.114,0.080,0.111,0,0.458,0.008,0.019,0.025,0.029,0.057,0.080,0.106,0.144,0.171,0.206,0.263,0.147,Catacora,General Jose Manuel Pando,La Paz,2,563.2,5326,9.46
20103,4045,0.460,0.289,0.487,0,2.098,0.008,0.044,0.073,0.108,0.192,0.289,0.425,0.592,0.684,0.808,1.205,0.611,Mecapaca,Murillo,La Paz,2,533.1,20455,38.37
20402,3121,0.105,0.082,0.091,0,0.394,0.008,0.023,0.032,0.041,0.061,0.082,0.106,0.135,0.154,0.176,0.239,0.122,Mocomoco,Camacho,La Paz,2,531.6,17653,33.21
20403,3271,0.126,0.093,0.116,0,0.488,0.008,0.024,0.033,0.044,0.066,0.093,0.123,0.164,0.186,0.213,0.298,0.153,Puerto Carabuco,Camacho,La Paz,2,415,17248,41.56
20404,1085,0.116,0.087,0.101,0,0.429,0.008,0.028,0.035,0.043,0.065,0.087,0.118,0.156,0.177,0.201,0.272,0.142,Humanata,Camacho,La Paz,2,450,5615,12.48
20501,2154,0.142,0.106,0.127,0,0.551,0.008,0.029,0.040,0.052,0.077,0.106,0.141,0.182,0.216,0.244,0.337,0.176,Chuma,Munecas,La Paz,2,599.8,17671,29.46
20902,3019,0.194,0.141,0.181,0,0.75,0.008,0.029,0.045,0.061,0.095,0.141,0.195,0.259,0.295,0.333,0.474,0.251,Sapahaqui,Loayza,La Paz,2,846.8,16420,19.39
21306,1713,0.234,0.179,0.220,0,0.922,0.008,0.034,0.049,0.070,0.117,0.179,0.236,0.308,0.362,0.422,0.564,0.313,Colquencha,Aroma,La Paz,2,305.3,12344,40.43
21701,4412,0.286,0.184,0.293,0,1.244,0.008,0.035,0.051,0.074,0.125,0.184,0.269,0.367,0.430,0.508,0.747,0.379,Copacabana,Manco Kapac,La Paz,2,177.1,17431,98.42
30501,4529,0.322,0.216,0.325,0,1.356,0.008,0.034,0.053,0.079,0.142,0.216,0.304,0.416,0.502,0.593,0.815,0.449,Arani,Arani,Cochabamba,3,216.3,11411,52.76
31201,3111,0.179,0.126,0.172,0,0.73,0.008,0.029,0.043,0.058,0.087,0.126,0.172,0.231,0.269,0.310,0.442,0.226,Totora,Carrasco,Cochabamba,3,2157,14766,6.85
31302,459,0.193,0.121,0.194,0,0.771,0.008,0.026,0.040,0.053,0.083,0.121,0.172,0.260,0.307,0.356,0.491,0.267,Vila Vila,Mizque,Cochabamba,3,601.6,5220,8.68
40501,511,0.187,0.110,0.195,0,0.826,0.008,0.030,0.040,0.055,0.078,0.110,0.160,0.231,0.269,0.331,0.479,0.229,Huachacalla,Litoral,Oruro,4,20.8,3974,191.06
40802,171,0.179,0.116,0.183,0,0.765,0.008,0.022,0.031,0.038,0.070,0.116,0.176,0.238,0.259,0.334,0.434,0.228,Pampa Aullagas,Ladislao Cabrera,Oruro,4,1062,3180,2.99
41401,1272,0.310,0.218,0.299,0,1.275,0.008,0.038,0.058,0.086,0.142,0.218,0.313,0.423,0.485,0.561,0.759,0.427,Santiago de Huari,Sebastian Pagador,Oruro,4,2407,13439,5.58
20202,3036,0.134,0.096,0.124,0,0.533,0.007,0.025,0.035,0.045,0.067,0.096,0.130,0.175,0.203,0.236,0.322,0.168,Ancoraimes,Omasuyos,La Paz,2,329.5,16900,51.29
20702,894,0.262,0.181,0.264,0,1.131,0.007,0.037,0.051,0.071,0.118,0.181,0.242,0.336,0.396,0.475,0.653,0.345,Pelechuco,Franz Tamayo,La Paz,2,2549,8993,3.53
20901,2508,0.203,0.152,0.186,0,0.776,0.007,0.029,0.048,0.068,0.107,0.152,0.204,0.272,0.312,0.358,0.492,0.264,Luribay,Loayza,La Paz,2,509,10581,20.79
21203,4747,0.224,0.159,0.215,0,0.913,0.007,0.033,0.050,0.068,0.107,0.159,0.216,0.292,0.339,0.394,0.556,0.289,Batallas,Los Andes,La Paz,2,993.9,20503,20.63
21301,4676,0.183,0.131,0.178,0,0.752,0.007,0.028,0.040,0.055,0.091,0.131,0.174,0.232,0.267,0.315,0.456,0.227,Sica Sica,Aroma,La Paz,2,1742,33546,19.26
30302,1501,0.134,0.105,0.116,0,0.498,0.007,0.026,0.038,0.048,0.074,0.105,0.141,0.184,0.210,0.230,0.304,0.172,Morochata,Ayopaya,Cochabamba,3,600,14598,24.33
30303,1117,0.151,0.120,0.132,0,0.561,0.007,0.025,0.038,0.054,0.083,0.120,0.159,0.205,0.229,0.260,0.345,0.191,Cocapata,Ayopaya,Cochabamba,3,6800,19467,2.86
30601,918,0.157,0.114,0.147,0,0.635,0.007,0.027,0.041,0.054,0.081,0.114,0.150,0.198,0.228,0.278,0.384,0.187,Arque,Arque,Cochabamba,3,516.8,10635,20.58
31501,852,0.129,0.098,0.118,0,0.504,0.007,0.021,0.031,0.041,0.067,0.098,0.132,0.181,0.203,0.224,0.303,0.172,Bolivar,Bolivar,Cochabamba,3,724,8197,11.32
90202,99,0.563,0.360,0.621,0,2.338,0.007,0.016,0.024,0.046,0.202,0.360,0.539,0.766,0.871,1.063,1.498,0.847,San Pedro,Manuripi,Pando,9,2636,3239,1.23
20405,1768,0.118,0.081,0.116,0,0.494,0.006,0.019,0.026,0.033,0.058,0.081,0.108,0.147,0.174,0.209,0.300,0.148,Escoma,Camacho,La Paz,2,130,8810,67.77
20604,737,0.157,0.128,0.140,0,0.611,0.006,0.027,0.041,0.055,0.089,0.128,0.162,0.206,0.233,0.267,0.377,0.192,Quiabaya,Larecaja,La Paz,2,133.6,4221,31.59
20803,2539,0.168,0.128,0.149,0,0.626,0.006,0.037,0.057,0.077,0.112,0.128,0.148,0.203,0.240,0.278,0.408,0.183,Tiahuanaco,Ingavi,La Paz,2,352.2,13568,38.52
21601,1788,0.136,0.104,0.122,0,0.521,0.006,0.025,0.035,0.048,0.074,0.104,0.139,0.179,0.203,0.232,0.313,0.168,Charazani,Bautista Saavedra,La Paz,2,2592,15854,6.12
21703,416,0.098,0.055,0.104,0,0.461,0.006,0.014,0.021,0.026,0.036,0.055,0.084,0.122,0.145,0.171,0.267,0.124,Tito Yupanqui,Manco Kapac,La Paz,2,14.9,7512,504.16
30301,2915,0.147,0.105,0.140,0,0.598,0.006,0.025,0.035,0.047,0.074,0.105,0.143,0.190,0.224,0.255,0.356,0.189,Independencia,Ayopaya,Cochabamba,3,1514,21717,14.34
90201,746,0.864,0.753,0.725,0,3.05,0.006,0.173,0.282,0.376,0.552,0.753,0.924,1.117,1.256,1.409,1.941,0.974,Puerto Rico,Manuripi,Pando,9,5320,7217,1.36
21307,594,0.209,0.164,0.194,0,0.779,0.005,0.028,0.047,0.064,0.108,0.164,0.216,0.282,0.314,0.359,0.496,0.267,Collana,Aroma,La Paz,2,125.6,5525,43.99
20204,2443,0.162,0.102,0.169,0,0.694,0.005,0.020,0.028,0.039,0.066,0.102,0.146,0.206,0.242,0.296,0.425,0.214,Huarina,Omasuyos,La Paz,2,205,9258,45.16
21001,2034,0.108,0.080,0.100,0,0.431,0.005,0.021,0.028,0.038,0.056,0.080,0.106,0.141,0.161,0.183,0.258,0.133,Inquisivi,Inquisivi,La Paz,2,3277,18764,5.73
30404,1098,0.149,0.103,0.145,0,0.577,0.005,0.022,0.033,0.045,0.072,0.103,0.143,0.193,0.221,0.257,0.381,0.188,Sacabamba,Esteban Arze,Cochabamba,3,185.7,4953,26.67
30502,1253,0.158,0.107,0.158,0,0.677,0.005,0.020,0.028,0.040,0.074,0.107,0.152,0.207,0.239,0.283,0.399,0.211,Vacas,Arani,Cochabamba,3,360.9,8425,23.34
30602,1070,0.094,0.071,0.083,0,0.351,0.005,0.017,0.025,0.032,0.050,0.071,0.100,0.130,0.148,0.166,0.215,0.123,Tacopaya,Arque,Cochabamba,3,554.9,10549,19.01
31101,1921,0.162,0.117,0.153,0,0.638,0.005,0.025,0.036,0.050,0.082,0.117,0.165,0.213,0.249,0.281,0.388,0.213,Tapacari,Tapacari,Cochabamba,3,1651,24534,14.86
40901,692,0.219,0.113,0.256,0,1.045,0.005,0.024,0.033,0.045,0.069,0.113,0.170,0.253,0.313,0.389,0.657,0.280,Sabaya,Sabaya,Oruro,4,3384,15387,4.55
20203,1647,0.154,0.107,0.159,0,0.683,0.004,0.018,0.028,0.038,0.065,0.107,0.137,0.195,0.235,0.279,0.399,0.207,Chua Cocani,Omasuyos,La Paz,2,17.5,8657,494.69
20305,320,0.182,0.114,0.201,0,0.794,0.004,0.013,0.023,0.036,0.068,0.114,0.165,0.231,0.265,0.319,0.478,0.242,Charana,Pacajes,La Paz,2,2925,4124,1.41
20308,377,0.109,0.077,0.110,0,0.442,0.004,0.014,0.020,0.027,0.050,0.077,0.100,0.140,0.162,0.182,0.283,0.142,Callapa,Pacajes,La Paz,2,1236,7965,6.44
20804,1689,0.356,0.224,0.374,0,1.538,0.004,0.034,0.054,0.081,0.143,0.224,0.319,0.462,0.553,0.658,0.948,0.499,Desaguadero,Ingavi,La Paz,2,91.3,7867,86.17
21202,6593,0.377,0.212,0.423,0,1.755,0.004,0.031,0.052,0.077,0.137,0.212,0.313,0.466,0.564,0.689,1.048,0.512,Laja,Los Andes,La Paz,2,690.4,38612,55.93
21204,1754,0.161,0.110,0.159,0,0.67,0.004,0.020,0.031,0.044,0.074,0.110,0.156,0.212,0.248,0.289,0.409,0.217,Puerto Perez,Los Andes,La Paz,2,126.8,7874,62.1
21304,2665,0.171,0.115,0.172,0,0.705,0.004,0.021,0.033,0.046,0.075,0.115,0.164,0.229,0.262,0.301,0.433,0.229,Calamarca,Aroma,La Paz,2,495.6,15279,30.83
21702,1587,0.159,0.086,0.181,0,0.755,0.004,0.015,0.024,0.033,0.052,0.086,0.131,0.201,0.240,0.283,0.446,0.216,San Pedro de Tiquina,Manco Kapac,La Paz,2,61.2,9097,148.64
31404,285,0.266,0.168,0.268,0,1.076,0.004,0.018,0.033,0.046,0.107,0.168,0.283,0.384,0.429,0.526,0.673,0.396,Tacachi,Punata,Cochabamba,3,12.4,1276,102.9
60402,1025,0.156,0.116,0.145,0,0.599,0.004,0.017,0.032,0.047,0.079,0.116,0.165,0.215,0.236,0.270,0.372,0.204,Yunchara,Jose Maria Aviles,Tarija,6,1834,4763,2.6
21801,145,0.119,0.089,0.111,0,0.416,0.004,0.019,0.030,0.040,0.072,0.089,0.115,0.144,0.164,0.187,0.313,0.134,San Pedro de Curahuara,Gualberto Villarroel,La Paz,2,733.3,9044,12.33
40302,217,0.102,0.052,0.114,0,0.472,0.004,0.008,0.012,0.021,0.032,0.052,0.081,0.141,0.157,0.192,0.263,0.145,Choquecota,Carangas,Oruro,4,849.9,2980,3.51
20601,4969,0.221,0.137,0.235,0,0.987,0.003,0.022,0.036,0.050,0.089,0.137,0.199,0.276,0.329,0.394,0.595,0.293,Sorata,Larecaja,La Paz,2,2087,30020,14.38
20801,26997,0.432,0.299,0.435,0,1.811,0.003,0.032,0.061,0.098,0.192,0.299,0.428,0.584,0.679,0.783,1.096,0.618,Viacha,Ingavi,La Paz,2,857.3,113453,132.34
20805,1338,0.073,0.052,0.069,0,0.284,0.003,0.013,0.019,0.027,0.038,0.052,0.070,0.091,0.108,0.123,0.180,0.089,San Andres de Machaca,Ingavi,La Paz,2,1528,7832,5.13
21005,977,0.092,0.061,0.094,0,0.387,0.003,0.011,0.015,0.021,0.040,0.061,0.086,0.120,0.140,0.167,0.239,0.125,Ichoca,Inquisivi,La Paz,2,852,9536,11.19
21201,6572,0.207,0.153,0.197,0,0.844,0.003,0.026,0.042,0.060,0.104,0.153,0.207,0.276,0.316,0.367,0.508,0.274,Pucarani,Los Andes,La Paz,2,940.8,49701,52.83
21303,1783,0.140,0.095,0.137,0,0.579,0.003,0.020,0.028,0.040,0.065,0.095,0.136,0.185,0.215,0.250,0.348,0.187,Ayo Ayo,Aroma,La Paz,2,491.6,11251,22.89
40903,328,0.173,0.121,0.168,0,0.666,0.003,0.019,0.030,0.045,0.075,0.121,0.181,0.242,0.277,0.326,0.431,0.248,Chipaya,Sabaya,Oruro,4,300.1,2366,7.88
30402,844,0.167,0.097,0.181,0,0.752,0.002,0.014,0.023,0.037,0.065,0.097,0.148,0.221,0.253,0.299,0.446,0.230,Anzaldo,Esteban Arze,Cochabamba,3,646.6,7322,11.32
20104,5466,0.423,0.312,0.415,0,1.763,0.002,0.035,0.067,0.105,0.203,0.312,0.431,0.575,0.667,0.755,1.026,0.600,Achocalla,Murillo,La Paz,2,196.2,46068,234.8
20302,3091,0.065,0.047,0.063,0,0.27,0.002,0.011,0.016,0.022,0.034,0.047,0.062,0.082,0.093,0.110,0.162,0.078,Caquiaviri,Pacajes,La Paz,2,1586,15464,9.75
20307,93,0.081,0.054,0.088,0,0.355,0.002,0.009,0.011,0.018,0.033,0.054,0.071,0.096,0.118,0.138,0.215,0.107,Nazacara de Pacajes,Pacajes,La Paz,2,19.2,3990,207.81
20605,604,0.118,0.072,0.122,0,0.489,0.002,0.011,0.018,0.025,0.048,0.072,0.107,0.158,0.186,0.217,0.310,0.168,Combaya,Larecaja,La Paz,2,99.5,3502,35.2
20903,1452,0.107,0.076,0.104,0,0.436,0.002,0.014,0.022,0.032,0.055,0.076,0.106,0.141,0.159,0.190,0.266,0.137,Yaco,Loayza,La Paz,2,599.1,12303,20.54
21104,5132,0.443,0.360,0.403,0,1.72,0.002,0.047,0.085,0.127,0.233,0.360,0.489,0.621,0.695,0.782,1.034,0.610,Palos Blancos,Sud Yungas,La Paz,2,3605,26995,7.49
21803,277,0.096,0.071,0.094,0,0.405,0.002,0.012,0.018,0.024,0.044,0.071,0.096,0.129,0.152,0.171,0.243,0.134,Chacarilla,Gualberto Villarroel,La Paz,2,370,2031,5.49
22002,1878,0.414,0.341,0.373,0,1.602,0.002,0.054,0.082,0.115,0.208,0.341,0.468,0.593,0.661,0.736,0.935,0.579,Alto Beni,Caranavi,La Paz,2,950,10499,11.05
30702,2178,0.433,0.321,0.427,0,1.757,0.002,0.026,0.047,0.083,0.196,0.321,0.465,0.607,0.684,0.788,1.082,0.637,Santivanez,Capinota,Cochabamba,3,307.3,7868,25.6
40201,7932,0.267,0.213,0.257,0,1.075,0.002,0.029,0.050,0.078,0.138,0.213,0.256,0.343,0.401,0.472,0.662,0.351,Challapata,Abaroa,Oruro,4,2586,35339,13.67
40402,401,0.102,0.050,0.127,0,0.525,0.002,0.006,0.008,0.013,0.027,0.050,0.079,0.114,0.154,0.181,0.291,0.146,Turco,Sajama,Oruro,4,4895,5277,1.08
40801,3243,0.127,0.064,0.144,0,0.601,0.002,0.011,0.016,0.023,0.040,0.064,0.101,0.163,0.206,0.240,0.351,0.190,Salinas de Garci Mendoza,Ladislao Cabrera,Oruro,4,4924,15906,3.23
41202,343,0.050,0.023,0.060,0,0.259,0.002,0.006,0.009,0.010,0.015,0.023,0.034,0.055,0.071,0.096,0.151,0.062,Belen de Andamarca,Sud Carangas,Oruro,4,1080,2996,2.77
20303,1008,0.085,0.042,0.103,0,0.444,0.001,0.007,0.011,0.014,0.025,0.042,0.065,0.103,0.126,0.149,0.237,0.115,Calacoto,Pacajes,La Paz,2,3958,12057,3.05
20802,2216,0.175,0.111,0.183,0,0.759,0.001,0.018,0.029,0.041,0.072,0.111,0.165,0.229,0.271,0.320,0.463,0.242,Guaqui,Ingavi,La Paz,2,191.6,8599,44.88
20807,1388,0.129,0.080,0.134,0,0.555,0.001,0.013,0.020,0.031,0.050,0.080,0.118,0.168,0.203,0.238,0.344,0.183,Taraco,Ingavi,La Paz,2,110.2,7511,68.16
20904,263,0.136,0.086,0.148,0,0.604,0.001,0.010,0.019,0.024,0.045,0.086,0.119,0.166,0.210,0.276,0.344,0.192,Malla,Loayza,La Paz,2,329.7,4866,14.76
21602,301,0.109,0.076,0.105,0,0.429,0.001,0.016,0.022,0.031,0.052,0.076,0.110,0.143,0.171,0.198,0.280,0.149,Curva,Bautista Saavedra,La Paz,2,601.2,6423,10.68
21901,1156,0.069,0.037,0.080,0,0.338,0.001,0.007,0.011,0.015,0.025,0.037,0.054,0.081,0.100,0.127,0.192,0.089,Santiago de Machaca,General Jose Manuel Pando,La Paz,2,1276,6766,5.3
22001,10402,0.342,0.198,0.376,0,1.589,0.001,0.025,0.043,0.067,0.128,0.198,0.298,0.439,0.525,0.634,0.927,0.482,Caranavi,Caranavi,La Paz,2,2100,59034,28.11
30403,4762,0.463,0.355,0.446,0,1.869,0.001,0.033,0.068,0.115,0.228,0.355,0.484,0.634,0.725,0.826,1.127,0.657,Arbieto,Esteban Arze,Cochabamba,3,147.2,30454,206.89
20201,17301,0.188,0.120,0.197,0,0.826,0.000,0.012,0.024,0.037,0.073,0.120,0.180,0.252,0.293,0.345,0.489,0.269,Achacachi,Omasuyos,La Paz,2,700,47064,67.23
20205,2589,0.104,0.055,0.119,0,0.491,0.000,0.007,0.012,0.018,0.033,0.055,0.086,0.135,0.164,0.198,0.298,0.152,Santiago de Huata,Omasuyos,La Paz,2,125,5096,40.77
20206,1179,0.113,0.053,0.137,0,0.57,0.000,0.005,0.010,0.015,0.032,0.053,0.086,0.132,0.168,0.217,0.330,0.158,Huatajata,Omasuyos,La Paz,2,31,7183,231.71
20301,2683,0.115,0.067,0.127,0,0.552,0.000,0.008,0.015,0.022,0.042,0.067,0.104,0.145,0.175,0.210,0.307,0.160,Coro Coro,Pacajes,La Paz,2,1145,13395,11.7
20304,862,0.081,0.040,0.100,0,0.413,0.000,0.000,0.004,0.010,0.021,0.040,0.062,0.098,0.122,0.147,0.228,0.118,Comanche,Pacajes,La Paz,2,436.9,5201,11.9
20306,358,0.119,0.096,0.115,0,0.481,0.000,0.005,0.016,0.027,0.054,0.096,0.133,0.165,0.180,0.213,0.288,0.164,Waldo Ballivian,Pacajes,La Paz,2,123.5,6557,53.09
20401,4887,0.108,0.072,0.112,0,0.471,0.000,0.012,0.017,0.024,0.048,0.072,0.102,0.144,0.168,0.199,0.280,0.151,Puerto Acosta,Camacho,La Paz,2,260,13940,53.62
20806,3114,0.089,0.057,0.093,0,0.383,0.000,0.008,0.013,0.021,0.037,0.057,0.084,0.118,0.139,0.162,0.236,0.126,Jesus de Machaca,Ingavi,La Paz,2,970,16957,17.48
20905,1976,0.113,0.094,0.101,0,0.452,0.000,0.010,0.026,0.043,0.075,0.094,0.115,0.146,0.169,0.190,0.257,0.143,Cairoma,Loayza,La Paz,2,543.8,13657,25.11
21004,1794,0.103,0.070,0.107,0,0.479,0.000,0.007,0.015,0.023,0.044,0.070,0.099,0.138,0.162,0.188,0.261,0.147,Colquiri,Inquisivi,La Paz,2,1060,23456,22.13
21302,2024,0.110,0.068,0.119,0,0.481,0.000,0.009,0.014,0.022,0.042,0.068,0.102,0.144,0.168,0.200,0.292,0.154,Umala,Aroma,La Paz,2,860.4,9021,10.48
31402,2927,0.258,0.175,0.270,0,1.121,0.000,0.011,0.026,0.044,0.100,0.175,0.253,0.350,0.408,0.480,0.674,0.382,Villa Rivero,Punata,Cochabamba,3,103,8551,83.02
40103,79,0.226,0.128,0.253,0,0.996,0.000,0.015,0.021,0.036,0.066,0.128,0.220,0.294,0.345,0.426,0.585,0.324,El Choro,Cercado,Oruro,4,1119,10393,9.29
40104,11558,0.164,0.120,0.165,0,0.683,0.000,0.001,0.024,0.036,0.072,0.120,0.168,0.228,0.252,0.288,0.420,0.228,Paria (Soracachi),Cercado,Oruro,4,1373,15675,11.42
40202,696,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Quillacas,Abaroa,Oruro,4,921.7,5105,5.54
40301,1302,0.115,0.058,0.135,0,0.55,0.000,0.008,0.012,0.018,0.033,0.058,0.095,0.140,0.170,0.220,0.335,0.158,Corque,Carangas,Oruro,4,3380,16020,4.74
40503,56,0.076,0.045,0.091,0,0.374,0.000,0.002,0.007,0.011,0.031,0.045,0.060,0.091,0.108,0.125,0.213,0.101,Cruz de Machacamarca,Litoral,Oruro,4,524.5,1511,2.88
40504,54,0.057,0.014,0.080,0,0.265,0.000,0.000,0.000,0.001,0.005,0.014,0.036,0.063,0.071,0.105,0.208,0.071,Yunguyo de Litoral,Litoral,Oruro,4,176.8,882,4.99
40505,54,0.069,0.039,0.077,0,0.323,0.000,0.006,0.008,0.012,0.028,0.039,0.062,0.089,0.106,0.125,0.168,0.098,Esmeralda,Litoral,Oruro,4,606.1,3883,6.41
40601,152,0.026,0.001,0.040,0,0.151,0.000,0.000,0.000,0.000,0.000,0.001,0.012,0.034,0.044,0.057,0.090,0.044,Poopo,Poopo,Oruro,4,704.2,9152,13
40602,2636,0.208,0.157,0.209,0,0.864,0.000,0.008,0.014,0.036,0.104,0.157,0.229,0.265,0.312,0.360,0.535,0.299,Pazna,Poopo,Oruro,4,740,4220,5.7
41001,764,0.212,0.220,0.194,0,0.804,0.000,0.014,0.034,0.059,0.129,0.220,0.240,0.240,0.300,0.350,0.490,0.266,Toledo,Saucari,Oruro,4,2928,12115,4.14
41201,1067,0.078,0.037,0.096,0,0.387,0.000,0.006,0.009,0.012,0.024,0.037,0.059,0.093,0.113,0.142,0.238,0.104,Santiago de Andamarca,Sud Carangas,Oruro,4,2321,6300,2.71
41501,61,0.220,0.072,0.263,0,1.029,0.000,0.000,0.001,0.006,0.027,0.072,0.195,0.333,0.404,0.458,0.624,0.403,La Rivera,Mejillones,Oruro,4,198.2,1266,6.39
41502,86,0.153,0.034,0.215,0,0.8,0.000,0.001,0.006,0.012,0.022,0.034,0.100,0.150,0.210,0.303,0.525,0.204,Todos Santos,Mejillones,Oruro,4,238.1,1132,4.75
41503,58,0.047,0.012,0.074,0,0.282,0.000,0.000,0.000,0.000,0.003,0.012,0.025,0.038,0.046,0.090,0.169,0.046,Carangas,Mejillones,Oruro,4,257.7,1130,4.38
90104,187,0.590,0.156,0.786,0,3.056,0.000,0.012,0.012,0.019,0.068,0.156,0.386,0.811,1.000,1.228,1.797,0.988,Bella Flor,Nicolas Suarez,Pando,9,5793,3632,0.63
